Concept,Member,#Fully specified name:es,#Fully specified name:en,Member Type,Sort Weight,Void/Retire
7014024a-c0d0-4885-beab-f5166619be7c,135585AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,afonía,Loss of Voice,CONCEPT-SET,15,
7014024a-c0d0-4885-beab-f5166619be7c,122260AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ahogamiento o sumersión accidental,Accidental drowning or submersion,CONCEPT-SET,16,
7014024a-c0d0-4885-beab-f5166619be7c,3ccd369c-26fe-102b-80cb-0017a47871b2,Alergia,Allergy,CONCEPT-SET,17,
7014024a-c0d0-4885-beab-f5166619be7c,149062AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,alopecia circunscripta,Alopecia Areata,CONCEPT-SET,18,
7014024a-c0d0-4885-beab-f5166619be7c,118879AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,alteración del ánimo,Mood changes,CONCEPT-SET,19,
7014024a-c0d0-4885-beab-f5166619be7c,118876AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Alteraciones del estado mental,Alteration of consciousness,CONCEPT-SET,20,
7014024a-c0d0-4885-beab-f5166619be7c,112416AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Amenaza de aborto,Threatened Abortion,CONCEPT-SET,21,
7014024a-c0d0-4885-beab-f5166619be7c,124818AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Amenaza de parto prematuro,Threatened Premature Labor,CONCEPT-SET,22,
7014024a-c0d0-4885-beab-f5166619be7c,148989AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,amenorrea,Amenorrhea,CONCEPT-SET,23,
7014024a-c0d0-4885-beab-f5166619be7c,149496AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,amigdalitis aguda,Acute Tonsillitis,CONCEPT-SET,24,
7014024a-c0d0-4885-beab-f5166619be7c,ac764401-a34a-4a29-b886-43053a9f6e35,Amputación,Amputation,CONCEPT-SET,25,
7014024a-c0d0-4885-beab-f5166619be7c,3cd68008-26fe-102b-80cb-0017a47871b2,Anafilaxia,Anaphylaxis,CONCEPT-SET,26,
7014024a-c0d0-4885-beab-f5166619be7c,3ccc4764-26fe-102b-80cb-0017a47871b2,Anemia,Anemia,CONCEPT-SET,27,
7014024a-c0d0-4885-beab-f5166619be7c,117703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Anemia falciforme,Sickle-cell anemia,CONCEPT-SET,28,
7014024a-c0d0-4885-beab-f5166619be7c,3cd4bc50-26fe-102b-80cb-0017a47871b2,Anorexia,Loss of appetite,CONCEPT-SET,29,
7014024a-c0d0-4885-beab-f5166619be7c,3ce6b1ee-26fe-102b-80cb-0017a47871b2,Ansiedad,Anxiety,CONCEPT-SET,30,
7014024a-c0d0-4885-beab-f5166619be7c,3cce8bb4-26fe-102b-80cb-0017a47871b2,Apendicitis aguda,Acute Appendicitis,CONCEPT-SET,31,
7014024a-c0d0-4885-beab-f5166619be7c,3ccd042e-26fe-102b-80cb-0017a47871b2,Artritis,Arthritis,CONCEPT-SET,32,
7014024a-c0d0-4885-beab-f5166619be7c,117769AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Artritis gonocócica,Gonococcal arthritis,CONCEPT-SET,33,
7014024a-c0d0-4885-beab-f5166619be7c,157409AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Artritis juvenil,"Juvenile arthritis, unspecified",CONCEPT-SET,34,
7014024a-c0d0-4885-beab-f5166619be7c,128007AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Artritis piógena,"Pyogenic arthritis, site unspecified",CONCEPT-SET,35,
7014024a-c0d0-4885-beab-f5166619be7c,3cce8d4e-26fe-102b-80cb-0017a47871b2,Artritis reumatoide,Rheumatoid arthritis,CONCEPT-SET,36,
7014024a-c0d0-4885-beab-f5166619be7c,131651AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,artrosis de la rodilla,Osteoarthritis of Knee,CONCEPT-SET,37,
7014024a-c0d0-4885-beab-f5166619be7c,3cd1fce0-26fe-102b-80cb-0017a47871b2,Ascitis,Ascites,CONCEPT-SET,38,
7014024a-c0d0-4885-beab-f5166619be7c,08e9c0e1-d72f-425d-81ea-dbe88eb90772,Asfixia perinatal,Birth asphyxia,CONCEPT-SET,39,
7014024a-c0d0-4885-beab-f5166619be7c,3ccc4bf6-26fe-102b-80cb-0017a47871b2,Asma,Asthma,CONCEPT-SET,40,
7014024a-c0d0-4885-beab-f5166619be7c,3cf19000-26fe-102b-80cb-0017a47871b2,Astenia y adinamia,Malaise and Fatigue,CONCEPT-SET,41,
7014024a-c0d0-4885-beab-f5166619be7c,130967AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,ataque de pánico,Panic attack,CONCEPT-SET,42,
7014024a-c0d0-4885-beab-f5166619be7c,112276AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,ataque isquémico transitorio,Transient Cerebral Ischemia,CONCEPT-SET,43,
7014024a-c0d0-4885-beab-f5166619be7c,161896AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Atencion paliativa,Encounter for palliative care,CONCEPT-SET,44,
7014024a-c0d0-4885-beab-f5166619be7c,121102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Blefaritis,Blepharitis,CONCEPT-SET,45,
7014024a-c0d0-4885-beab-f5166619be7c,3ccd1ee6-26fe-102b-80cb-0017a47871b2,Bocio,Goiter,CONCEPT-SET,46,
7014024a-c0d0-4885-beab-f5166619be7c,3cd4e7e8-26fe-102b-80cb-0017a47871b2,Bordetella pertusis,Pertussis,CONCEPT-SET,47,
7014024a-c0d0-4885-beab-f5166619be7c,3ccd40ce-26fe-102b-80cb-0017a47871b2,Bronquitis,Bronchitis,CONCEPT-SET,48,
7014024a-c0d0-4885-beab-f5166619be7c,3ccc57ae-26fe-102b-80cb-0017a47871b2,Bronquitis aguda,"Bronchitis, Acute",CONCEPT-SET,49,
7014024a-c0d0-4885-beab-f5166619be7c,120669AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bronquitis crónica,Chronic Bronchitis,CONCEPT-SET,50,
7014024a-c0d0-4885-beab-f5166619be7c,118350AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Caida,Fall,CONCEPT-SET,51,
7014024a-c0d0-4885-beab-f5166619be7c,116500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cálculo renal,Calculus of kidney,CONCEPT-SET,52,
7014024a-c0d0-4885-beab-f5166619be7c,3cce906e-26fe-102b-80cb-0017a47871b2,Candidiasis,Candidiasis,CONCEPT-SET,53,
7014024a-c0d0-4885-beab-f5166619be7c,146515AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,candidiasis de la piel,Candidiasis of Skin,CONCEPT-SET,54,
7014024a-c0d0-4885-beab-f5166619be7c,3ccf3d70-26fe-102b-80cb-0017a47871b2,Candidiasis de la vulva y de la vagina,Vaginal candidiasis,CONCEPT-SET,55,
7014024a-c0d0-4885-beab-f5166619be7c,3cdc532a-26fe-102b-80cb-0017a47871b2,candidiasis del esófago,Candidiasis of the Esophagus,CONCEPT-SET,56,
7014024a-c0d0-4885-beab-f5166619be7c,133418AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,candidiasis neonatal,Neonatal candidiasis,CONCEPT-SET,57,
7014024a-c0d0-4885-beab-f5166619be7c,121555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,carbunco,Cutaneous anthrax,CONCEPT-SET,58,
7014024a-c0d0-4885-beab-f5166619be7c,11180d8f-1628-4ea7-9fcc-ea80726d3829,Cardiomiopatía dilatada,Dilated cardiomyopathy,CONCEPT-SET,59,
7014024a-c0d0-4885-beab-f5166619be7c,116608AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cardiopatía isquémica,Ischemic Heart Disease,CONCEPT-SET,60,
7014024a-c0d0-4885-beab-f5166619be7c,3ccd1bda-26fe-102b-80cb-0017a47871b2,Caries dentales,Dental caries,CONCEPT-SET,61,
7014024a-c0d0-4885-beab-f5166619be7c,113046AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,catarata senil,Senile Cataract,CONCEPT-SET,62,
7014024a-c0d0-4885-beab-f5166619be7c,3cd24178-26fe-102b-80cb-0017a47871b2,cefalea,Headache,CONCEPT-SET,63,
7014024a-c0d0-4885-beab-f5166619be7c,140402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cefalohematoma fetal,Fetal cephalhematoma,CONCEPT-SET,64,
7014024a-c0d0-4885-beab-f5166619be7c,3ccd206c-26fe-102b-80cb-0017a47871b2,Celulitis,Cellulitis,CONCEPT-SET,65,
7014024a-c0d0-4885-beab-f5166619be7c,3ccdf42e-26fe-102b-80cb-0017a47871b2,Cervicitis,Cervicitis,CONCEPT-SET,66,
7014024a-c0d0-4885-beab-f5166619be7c,119441AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cetoacidosis diabética,Diabetes ketoacidosis,CONCEPT-SET,67,
7014024a-c0d0-4885-beab-f5166619be7c,3cd4f2f6-26fe-102b-80cb-0017a47871b2,Chalazión,Chalazion,CONCEPT-SET,68,
7014024a-c0d0-4885-beab-f5166619be7c,156199AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Choque eléctrico,Exposure to electric current,CONCEPT-SET,69,
7014024a-c0d0-4885-beab-f5166619be7c,136308AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cicatriz queloide de la piel,Keloid Scar,CONCEPT-SET,70,
7014024a-c0d0-4885-beab-f5166619be7c,116472AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cifosis,Kyphosis,CONCEPT-SET,71,
7014024a-c0d0-4885-beab-f5166619be7c,9e856570-cb13-4452-9fcc-b35b4c1cb990,Cirrosis hepática,Cirrhosis,CONCEPT-SET,72,
7014024a-c0d0-4885-beab-f5166619be7c,155838AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cisticercosis de sistema nervioso central ,Cysticercosis of central nervous system,CONCEPT-SET,73,
7014024a-c0d0-4885-beab-f5166619be7c,119685AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cistitis,Cystitis,CONCEPT-SET,74,
7014024a-c0d0-4885-beab-f5166619be7c,142974AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cistocele,Cystocele,CONCEPT-SET,75,
7014024a-c0d0-4885-beab-f5166619be7c,3cce7232-26fe-102b-80cb-0017a47871b2,Colecistitis,Cholecystitis,CONCEPT-SET,76,
7014024a-c0d0-4885-beab-f5166619be7c,145625AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Colelitiasis,Cholelithiasis NOS,CONCEPT-SET,77,
7014024a-c0d0-4885-beab-f5166619be7c,3cce870e-26fe-102b-80cb-0017a47871b2,Cólera,Cholera,CONCEPT-SET,78,
7014024a-c0d0-4885-beab-f5166619be7c,120147AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Condiloma,Condyloma,CONCEPT-SET,79,
7014024a-c0d0-4885-beab-f5166619be7c,142513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,conducta destructiva,Conduct disorder,CONCEPT-SET,80,
7014024a-c0d0-4885-beab-f5166619be7c,3ccd05be-26fe-102b-80cb-0017a47871b2,Conjuntivitis,Conjunctivitis,CONCEPT-SET,81,
7014024a-c0d0-4885-beab-f5166619be7c,99bdae84-e44f-469e-8c13-75912f3c3e55,Conjuntivitis alérgica,Allergic conjunctivitis,CONCEPT-SET,82,
7014024a-c0d0-4885-beab-f5166619be7c,b07490b1-4d9f-4f54-ada9-a2f2a06436b5,Conjuntivitis neonatal,Conjunctivitis of newborn,CONCEPT-SET,83,
7014024a-c0d0-4885-beab-f5166619be7c,5694db9f-82d8-4506-8761-e82f0bebff87,Conjuntivitis viral,Viral Conjunctivitis,CONCEPT-SET,84,
7014024a-c0d0-4885-beab-f5166619be7c,3ce147b8-26fe-102b-80cb-0017a47871b2,contacto de tuberculosis,Contact with a tuberculosis positive person,CONCEPT-SET,85,
7014024a-c0d0-4885-beab-f5166619be7c,162208AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Control del niño sano menos de 28 días de vida extrauterina,"Well baby exam, 8 to 28 days old",CONCEPT-SET,86,
7014024a-c0d0-4885-beab-f5166619be7c,162209AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Control del niño sano menos de 8 días de vida extrauterina,"Well baby exam, less than 8 days old",CONCEPT-SET,87,
7014024a-c0d0-4885-beab-f5166619be7c,144409AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Contusión,Concussion,CONCEPT-SET,88,
7014024a-c0d0-4885-beab-f5166619be7c,119866AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,contusión superficial,Contusion,CONCEPT-SET,89,
7014024a-c0d0-4885-beab-f5166619be7c,143388AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,convulsiones en el recién nacido,Convulsions in the newborn,CONCEPT-SET,90,
7014024a-c0d0-4885-beab-f5166619be7c,157523AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Convulsiones focales,Focal seizures,CONCEPT-SET,91,
7014024a-c0d0-4885-beab-f5166619be7c,60184910-5086-4110-a501-382c1c991286,Convulsiones generalizadas,Grand mal seizure,CONCEPT-SET,92,
7014024a-c0d0-4885-beab-f5166619be7c,161644AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Crisis hipertensiva,Hypertensive crisis,CONCEPT-SET,93,
7014024a-c0d0-4885-beab-f5166619be7c,139962AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cuerpo extraño en el oído,Foreign body in ear,CONCEPT-SET,94,
7014024a-c0d0-4885-beab-f5166619be7c,139963AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cuerpo extraño en tracto digestivo,Foreign Body in Digestive Tract,CONCEPT-SET,95,
7014024a-c0d0-4885-beab-f5166619be7c,139960AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cuerpo extraño en tracto genitourinario,Foreign Body in Genitourinary Tract,CONCEPT-SET,96,
7014024a-c0d0-4885-beab-f5166619be7c,156355AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cuerpo extraño en tracto respiratorio,foreign body in respiratory tract,CONCEPT-SET,97,
7014024a-c0d0-4885-beab-f5166619be7c,127655AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cuerpo extraño residual en tejido blando,Residual Foreign Body in Soft Tissue,CONCEPT-SET,98,
7014024a-c0d0-4885-beab-f5166619be7c,113292AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cuerpo extraño retenido en el ojo,Foreign body in eye,CONCEPT-SET,99,
7014024a-c0d0-4885-beab-f5166619be7c,e4fc1e73-75d8-4c86-bd6c-09cb210ffd50,Defecto atrial septal,Atrial septal defect,CONCEPT-SET,100,
7014024a-c0d0-4885-beab-f5166619be7c,5d02af45-05bd-4e3d-b749-c92ed0a7d2c2,Defecto ventricular septal,Ventricular septal defect,CONCEPT-SET,101,
7014024a-c0d0-4885-beab-f5166619be7c,119574AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Delirium,Delirium,CONCEPT-SET,102,
7014024a-c0d0-4885-beab-f5166619be7c,3ce98d06-26fe-102b-80cb-0017a47871b2,Demencia ,Dementia,CONCEPT-SET,103,
7014024a-c0d0-4885-beab-f5166619be7c,142592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dengue,Dengue,CONCEPT-SET,104,
7014024a-c0d0-4885-beab-f5166619be7c,3cce9514-26fe-102b-80cb-0017a47871b2,Depresion,Depression,CONCEPT-SET,105,
7014024a-c0d0-4885-beab-f5166619be7c,3ccd08d4-26fe-102b-80cb-0017a47871b2,Dermatitis,Dermatitis,CONCEPT-SET,106,
7014024a-c0d0-4885-beab-f5166619be7c,121348AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,dermatitis atópica,Atopic dermatitis,CONCEPT-SET,107,
7014024a-c0d0-4885-beab-f5166619be7c,157380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dermatitis de contacto,"Irritant contact dermatitis, unspecified cause",CONCEPT-SET,108,
7014024a-c0d0-4885-beab-f5166619be7c,3ce5c11c-26fe-102b-80cb-0017a47871b2,Dermatitis seborréica,Seborrhoeic dermatitis,CONCEPT-SET,109,
7014024a-c0d0-4885-beab-f5166619be7c,152595AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dermatopoliomiositis,Polymyositis-Dermatomyositis,CONCEPT-SET,110,
7014024a-c0d0-4885-beab-f5166619be7c,118697AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Derrame artricular,Effusion of Joint,CONCEPT-SET,111,
7014024a-c0d0-4885-beab-f5166619be7c,3cd771ac-26fe-102b-80cb-0017a47871b2,Derrame pleural,Pulmonary Effusion,CONCEPT-SET,112,
7014024a-c0d0-4885-beab-f5166619be7c,3cf1e0f0-26fe-102b-80cb-0017a47871b2,Descarga uretral,Urethral discharge,CONCEPT-SET,113,
7014024a-c0d0-4885-beab-f5166619be7c,112459AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Desgarro de menisco,Torn meniscus,CONCEPT-SET,114,
7014024a-c0d0-4885-beab-f5166619be7c,142630AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,deshidratación,Dehydration,CONCEPT-SET,115,
7014024a-c0d0-4885-beab-f5166619be7c,b7690a09-e5e5-4b47-adc5-c76b654772d3,Deshidratación moderada,Moderate dehydration,CONCEPT-SET,116,
7014024a-c0d0-4885-beab-f5166619be7c,330d227b-fada-4b8b-a05c-ba56b8e96e19,Deshidratación severa,Severe dehydration,CONCEPT-SET,117,
7014024a-c0d0-4885-beab-f5166619be7c,3cd97cc2-26fe-102b-80cb-0017a47871b2,Desnutrición moderada,Mild protein-energy malnutrition,CONCEPT-SET,118,
7014024a-c0d0-4885-beab-f5166619be7c,3cd97fb0-26fe-102b-80cb-0017a47871b2,Desnutrición severa,Severe protein-energy malnutrition,CONCEPT-SET,119,
7014024a-c0d0-4885-beab-f5166619be7c,130108AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,desprendimiento placentario,Placental abruption,CONCEPT-SET,120,
7014024a-c0d0-4885-beab-f5166619be7c,932d395c-d509-4d42-bac4-5a3281efe149,Diabetes gestacional,Gestational diabetes,CONCEPT-SET,121,
7014024a-c0d0-4885-beab-f5166619be7c,105903f4-7b6d-496a-b613-37ab9d0f5450,diabetes mellitus dependiente de insulina,Type 1 diabetes,CONCEPT-SET,122,
7014024a-c0d0-4885-beab-f5166619be7c,8b26ecd3-8726-4c8e-b042-cbe71e44a863,diabetes mellitus no dependiente de insulina,Type 2 diabetes,CONCEPT-SET,123,
7014024a-c0d0-4885-beab-f5166619be7c,cb3b4cf0-e042-4b53-9509-befbfeca3589,Diabetes mellitus preexistente en el embarazo,Pre-gestational diabetes,CONCEPT-SET,124,
7014024a-c0d0-4885-beab-f5166619be7c,3ccc6a00-26fe-102b-80cb-0017a47871b2,Diarrea ,Diarrhea,CONCEPT-SET,125,
7014024a-c0d0-4885-beab-f5166619be7c,aafca29e-a395-4638-9e27-2cddc7ed9146,Diarrea aguda,Acute Diarrhea,CONCEPT-SET,126,
7014024a-c0d0-4885-beab-f5166619be7c,3ce14aba-26fe-102b-80cb-0017a47871b2,Diarrea con sangre,Bloody diarrhea,CONCEPT-SET,127,
7014024a-c0d0-4885-beab-f5166619be7c,145443AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,diarrea crónica de causa desconocida,Chronic diarrhea of unknown origin,CONCEPT-SET,128,
7014024a-c0d0-4885-beab-f5166619be7c,3ccc6636-26fe-102b-80cb-0017a47871b2,Diarrea por parásitos,Parasitic diarrhea,CONCEPT-SET,129,
7014024a-c0d0-4885-beab-f5166619be7c,19f08bdd-7528-47ef-a060-b531f73024e7,Diarrea viral,Viral and other specified intestinal infections,CONCEPT-SET,130,
7014024a-c0d0-4885-beab-f5166619be7c,125290AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dientes supernumerarios,Supernumerary Tooth,CONCEPT-SET,131,
7014024a-c0d0-4885-beab-f5166619be7c,142371AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,dificultad para dormir,Difficulty Sleeping,CONCEPT-SET,132,
7014024a-c0d0-4885-beab-f5166619be7c,119399AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,difteria,Diphtheria,CONCEPT-SET,133,
7014024a-c0d0-4885-beab-f5166619be7c,141645AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,disartria,Dysarthria,CONCEPT-SET,134,
7014024a-c0d0-4885-beab-f5166619be7c,122936AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,discapacidad para caminar,Walking disability,CONCEPT-SET,135,
7014024a-c0d0-4885-beab-f5166619be7c,141635AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,disestesia,Dysaesthesia,CONCEPT-SET,136,
7014024a-c0d0-4885-beab-f5166619be7c,3cd4d0c8-26fe-102b-80cb-0017a47871b2,disfagia,Dysphagia,CONCEPT-SET,137,
7014024a-c0d0-4885-beab-f5166619be7c,147375AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dislocación congénita bilateral de cadera,Bilateral congenital dislocation of hip,CONCEPT-SET,138,
7014024a-c0d0-4885-beab-f5166619be7c,123790AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dislocación congénita unilateral de cadera,Unilateral congenital dislocation of hip,CONCEPT-SET,139,
7014024a-c0d0-4885-beab-f5166619be7c,3cce6a6c-26fe-102b-80cb-0017a47871b2,Dislocación de hombro,Shoulder dislocation,CONCEPT-SET,140,
7014024a-c0d0-4885-beab-f5166619be7c,142158AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dislocación de mandíbula,Dislocation of Jaw,CONCEPT-SET,141,
7014024a-c0d0-4885-beab-f5166619be7c,114989AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dislocación del codo,Dislocation of elbow,CONCEPT-SET,142,
7014024a-c0d0-4885-beab-f5166619be7c,3ccd154a-26fe-102b-80cb-0017a47871b2,Dismenorrea,Dysmenorrhoea,CONCEPT-SET,143,
7014024a-c0d0-4885-beab-f5166619be7c,3cf1a95a-26fe-102b-80cb-0017a47871b2,disnea,Dyspnea,CONCEPT-SET,144,
7014024a-c0d0-4885-beab-f5166619be7c,3cccfc54-26fe-102b-80cb-0017a47871b2,Dispepsia,Dyspepsia,CONCEPT-SET,145,
7014024a-c0d0-4885-beab-f5166619be7c,f6320f6f-4acf-4143-abb5-02001a19e4f3,Displasia cervical,Cervical dysplasia,CONCEPT-SET,146,
7014024a-c0d0-4885-beab-f5166619be7c,121213AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,displasia mamaria benigna,Benign Mammary Dysplasia,CONCEPT-SET,147,
7014024a-c0d0-4885-beab-f5166619be7c,3cf29fe0-26fe-102b-80cb-0017a47871b2,Disuria,Dysuria,CONCEPT-SET,148,
7014024a-c0d0-4885-beab-f5166619be7c,118862AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Diverticulitis o enfermedad diverticular,Diverticulitis of Colon,CONCEPT-SET,149,
7014024a-c0d0-4885-beab-f5166619be7c,7c4d837b-5967-4ba6-902c-ca7651bebf34,Dolor,Pain,CONCEPT-SET,150,
7014024a-c0d0-4885-beab-f5166619be7c,3ccdf8d4-26fe-102b-80cb-0017a47871b2,Dolor abdominal,Abdominal pain,CONCEPT-SET,151,
7014024a-c0d0-4885-beab-f5166619be7c,3cccc7ac-26fe-102b-80cb-0017a47871b2,Dolor articular,Joint pain,CONCEPT-SET,152,
7014024a-c0d0-4885-beab-f5166619be7c,3cd123ba-26fe-102b-80cb-0017a47871b2,Dolor en espalda baja o lumbalgia,Low back pain,CONCEPT-SET,153,
7014024a-c0d0-4885-beab-f5166619be7c,141128AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,dolor epigástrico,Epigastric pain,CONCEPT-SET,154,
7014024a-c0d0-4885-beab-f5166619be7c,3ccd0bf4-26fe-102b-80cb-0017a47871b2,Dolor muscular,Myalgia,CONCEPT-SET,155,
7014024a-c0d0-4885-beab-f5166619be7c,152288AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,dolor pélvico y perineal,Pelvic and Perineal Pain (for women only),CONCEPT-SET,156,
7014024a-c0d0-4885-beab-f5166619be7c,3ccd2364-26fe-102b-80cb-0017a47871b2,Dolor torácico,Chest Pain,CONCEPT-SET,157,
7014024a-c0d0-4885-beab-f5166619be7c,3cd47e3e-26fe-102b-80cb-0017a47871b2,Eccema,Eczema,CONCEPT-SET,158,
7014024a-c0d0-4885-beab-f5166619be7c,43223694-5bbb-4cff-8f2f-0ba5efed8e04,Eclampsia,Eclampsia,CONCEPT-SET,159,
7014024a-c0d0-4885-beab-f5166619be7c,3cd12a04-26fe-102b-80cb-0017a47871b2,Edema,Oedema,CONCEPT-SET,160,
7014024a-c0d0-4885-beab-f5166619be7c,6c54f2dc-0873-43fc-afb4-106572936455,Edema pulmonar,Pulmonary edema,CONCEPT-SET,161,
